Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2014,,,,
by Region/Country of Birth and Selected Characteristics,,,,
,,,,
Region/Country: Mexico,,,,
,,,,
Characteristic,Total,Male,Female,Unknown
Total,"134,052","58,754","75,292",6
,,,,
New arrivals,"61,862","28,574","33,286",2
Adjustments of status,"72,190","30,180","42,006",4
,,,,
Age,,,,
Under 18 years,"20,580","10,542","10,036",2
18 to 24 years,"18,653","8,722","9,930",1
25 to 34 years,"29,989","14,682","15,306",1
35 to 44 years,"30,499","12,281","18,218",-
45 to 54 years,"19,559","6,946","12,611",2
55 to 64 years,"8,275","2,967","5,308",-
65 years and over,"6,493","2,612","3,881",-
Unknown,4,2,2,-
,,,,
Marital status,,,,
Single,"40,922","19,759","21,161",2
Married,"85,548","37,397","48,151",-
Other,"6,812","1,186","5,626",-
Unknown,770,412,354,4
,,,,
Occupation,,,,
"Management, professional, and related occupations","5,536","3,511","2,025",-
Service occupations,"5,373","3,150","2,222",1
Sales and office occupations,D,D,"1,105",-
"Farming, fishing, and forestry occupations","3,240","2,897",343,-
"Construction, extraction, maintenance and repair occupations","3,046","3,010",36,-
"Production, transportation, and material moving occupations","11,946","10,003","1,943",-
Military,D,D,-,-
No occupation/not working outside home,"65,875","18,953","46,919",3
Homemakers,"34,824","3,139","31,685",-
Students or children,"25,681","13,058","12,621",2
Retirees,520,290,230,-
Unemployed,"4,850","2,466","2,383",1
Unknown,"37,015","16,314","20,699",2
,,,,
Broad class of admission,,,,
Family-sponsored preferences,"33,988","14,524","19,462",2
Employment-based preferences,"7,240","3,772","3,468",-
Immediate relatives of U.S. citizens,"81,576","36,433","45,142",1
Diversity,11,4,7,-
Refugees and asylees,618,333,285,-
Other,"10,619","3,688","6,928",3
,,,,
Leading states/territories of residence,,,,
Arizona,"7,225","2,952","4,273",-
California,"45,861","19,706","26,153",2
Colorado,"2,875","1,321","1,554",-
Connecticut,274,138,136,-
Florida,"3,552","1,613","1,939",-
Georgia,"2,442","1,097","1,345",-
Illinois,"6,598","2,988","3,610",-
Maryland,408,167,241,-
Michigan,"1,016",449,567,-
Minnesota,981,459,522,-
Nevada,"2,146",875,"1,271",-
New Jersey,949,431,518,-
New York,"2,217","1,001","1,216",-
North Carolina,"2,118",945,"1,173",-
Ohio,529,251,278,-
Pennsylvania,755,358,397,-
Texas,"32,831","14,257","18,573",1
Virginia,762,337,425,-
Washington,"2,768","1,255","1,511",2
Other,"17,745","8,154","9,590",1
D Data withheld to limit disclosure.,,,,
- Represents zero.,,,,
Source: U.S. Department of Homeland Security.,,,,
